Step,Infected Count,Infection Rate,Recovery Rate,Total People,Initial Infected,Num Clusters,Intra-cluster Connections,Inter-cluster Connections,Total Steps,Measure Interval,Method
4,47,0.1,0.1,480,30,48,10,400,400,4,classical
8,75,0.1,0.1,480,30,48,10,400,400,4,classical
12,140,0.1,0.1,480,30,48,10,400,400,4,classical
16,207,0.1,0.1,480,30,48,10,400,400,4,classical
20,223,0.1,0.1,480,30,48,10,400,400,4,classical
24,246,0.1,0.1,480,30,48,10,400,400,4,classical
28,280,0.1,0.1,480,30,48,10,400,400,4,classical
32,287,0.1,0.1,480,30,48,10,400,400,4,classical
36,302,0.1,0.1,480,30,48,10,400,400,4,classical
40,286,0.1,0.1,480,30,48,10,400,400,4,classical
44,308,0.1,0.1,480,30,48,10,400,400,4,classical
48,287,0.1,0.1,480,30,48,10,400,400,4,classical
52,306,0.1,0.1,480,30,48,10,400,400,4,classical
56,295,0.1,0.1,480,30,48,10,400,400,4,classical
60,302,0.1,0.1,480,30,48,10,400,400,4,classical
64,299,0.1,0.1,480,30,48,10,400,400,4,classical
68,309,0.1,0.1,480,30,48,10,400,400,4,classical
72,311,0.1,0.1,480,30,48,10,400,400,4,classical
76,309,0.1,0.1,480,30,48,10,400,400,4,classical
80,288,0.1,0.1,480,30,48,10,400,400,4,classical
84,282,0.1,0.1,480,30,48,10,400,400,4,classical
88,281,0.1,0.1,480,30,48,10,400,400,4,classical
92,288,0.1,0.1,480,30,48,10,400,400,4,classical
96,291,0.1,0.1,480,30,48,10,400,400,4,classical
100,290,0.1,0.1,480,30,48,10,400,400,4,classical
104,292,0.1,0.1,480,30,48,10,400,400,4,classical
108,278,0.1,0.1,480,30,48,10,400,400,4,classical
112,302,0.1,0.1,480,30,48,10,400,400,4,classical
116,289,0.1,0.1,480,30,48,10,400,400,4,classical
120,311,0.1,0.1,480,30,48,10,400,400,4,classical
124,307,0.1,0.1,480,30,48,10,400,400,4,classical
128,328,0.1,0.1,480,30,48,10,400,400,4,classical
132,311,0.1,0.1,480,30,48,10,400,400,4,classical
136,304,0.1,0.1,480,30,48,10,400,400,4,classical
140,316,0.1,0.1,480,30,48,10,400,400,4,classical
144,316,0.1,0.1,480,30,48,10,400,400,4,classical
148,312,0.1,0.1,480,30,48,10,400,400,4,classical
152,307,0.1,0.1,480,30,48,10,400,400,4,classical
156,313,0.1,0.1,480,30,48,10,400,400,4,classical
160,307,0.1,0.1,480,30,48,10,400,400,4,classical
164,332,0.1,0.1,480,30,48,10,400,400,4,classical
168,318,0.1,0.1,480,30,48,10,400,400,4,classical
172,307,0.1,0.1,480,30,48,10,400,400,4,classical
176,310,0.1,0.1,480,30,48,10,400,400,4,classical
180,314,0.1,0.1,480,30,48,10,400,400,4,classical
184,311,0.1,0.1,480,30,48,10,400,400,4,classical
188,309,0.1,0.1,480,30,48,10,400,400,4,classical
192,312,0.1,0.1,480,30,48,10,400,400,4,classical
196,290,0.1,0.1,480,30,48,10,400,400,4,classical
200,299,0.1,0.1,480,30,48,10,400,400,4,classical
204,306,0.1,0.1,480,30,48,10,400,400,4,classical
208,318,0.1,0.1,480,30,48,10,400,400,4,classical
212,298,0.1,0.1,480,30,48,10,400,400,4,classical
216,286,0.1,0.1,480,30,48,10,400,400,4,classical
220,290,0.1,0.1,480,30,48,10,400,400,4,classical
224,293,0.1,0.1,480,30,48,10,400,400,4,classical
228,294,0.1,0.1,480,30,48,10,400,400,4,classical
232,290,0.1,0.1,480,30,48,10,400,400,4,classical
236,303,0.1,0.1,480,30,48,10,400,400,4,classical
240,309,0.1,0.1,480,30,48,10,400,400,4,classical
244,311,0.1,0.1,480,30,48,10,400,400,4,classical
248,301,0.1,0.1,480,30,48,10,400,400,4,classical
252,304,0.1,0.1,480,30,48,10,400,400,4,classical
256,299,0.1,0.1,480,30,48,10,400,400,4,classical
260,299,0.1,0.1,480,30,48,10,400,400,4,classical
264,309,0.1,0.1,480,30,48,10,400,400,4,classical
268,308,0.1,0.1,480,30,48,10,400,400,4,classical
272,295,0.1,0.1,480,30,48,10,400,400,4,classical
276,302,0.1,0.1,480,30,48,10,400,400,4,classical
280,310,0.1,0.1,480,30,48,10,400,400,4,classical
284,298,0.1,0.1,480,30,48,10,400,400,4,classical
288,300,0.1,0.1,480,30,48,10,400,400,4,classical
292,314,0.1,0.1,480,30,48,10,400,400,4,classical
296,318,0.1,0.1,480,30,48,10,400,400,4,classical
300,324,0.1,0.1,480,30,48,10,400,400,4,classical
304,303,0.1,0.1,480,30,48,10,400,400,4,classical
308,315,0.1,0.1,480,30,48,10,400,400,4,classical
312,325,0.1,0.1,480,30,48,10,400,400,4,classical
316,323,0.1,0.1,480,30,48,10,400,400,4,classical
320,296,0.1,0.1,480,30,48,10,400,400,4,classical
324,314,0.1,0.1,480,30,48,10,400,400,4,classical
