Step,Infected Count,Infection Rate,Recovery Rate,Total People,Initial Infected,Num Clusters,Intra-cluster Connections,Inter-cluster Connections,Total Steps,Measure Interval,Method
5,70,0.1,0.1,250,30,25,10,100,200,5,classical
10,82,0.1,0.1,250,30,25,10,100,200,5,classical
15,102,0.1,0.1,250,30,25,10,100,200,5,classical
20,111,0.1,0.1,250,30,25,10,100,200,5,classical
25,127,0.1,0.1,250,30,25,10,100,200,5,classical
30,128,0.1,0.1,250,30,25,10,100,200,5,classical
35,129,0.1,0.1,250,30,25,10,100,200,5,classical
40,143,0.1,0.1,250,30,25,10,100,200,5,classical
45,148,0.1,0.1,250,30,25,10,100,200,5,classical
50,141,0.1,0.1,250,30,25,10,100,200,5,classical
55,124,0.1,0.1,250,30,25,10,100,200,5,classical
60,130,0.1,0.1,250,30,25,10,100,200,5,classical
65,128,0.1,0.1,250,30,25,10,100,200,5,classical
70,125,0.1,0.1,250,30,25,10,100,200,5,classical
75,140,0.1,0.1,250,30,25,10,100,200,5,classical
80,136,0.1,0.1,250,30,25,10,100,200,5,classical
85,138,0.1,0.1,250,30,25,10,100,200,5,classical
90,123,0.1,0.1,250,30,25,10,100,200,5,classical
95,125,0.1,0.1,250,30,25,10,100,200,5,classical
100,130,0.1,0.1,250,30,25,10,100,200,5,classical
105,131,0.1,0.1,250,30,25,10,100,200,5,classical
110,116,0.1,0.1,250,30,25,10,100,200,5,classical
115,115,0.1,0.1,250,30,25,10,100,200,5,classical
120,130,0.1,0.1,250,30,25,10,100,200,5,classical
125,126,0.1,0.1,250,30,25,10,100,200,5,classical
130,129,0.1,0.1,250,30,25,10,100,200,5,classical
135,135,0.1,0.1,250,30,25,10,100,200,5,classical
140,136,0.1,0.1,250,30,25,10,100,200,5,classical
145,148,0.1,0.1,250,30,25,10,100,200,5,classical
150,144,0.1,0.1,250,30,25,10,100,200,5,classical
155,135,0.1,0.1,250,30,25,10,100,200,5,classical
160,133,0.1,0.1,250,30,25,10,100,200,5,classical
165,135,0.1,0.1,250,30,25,10,100,200,5,classical
170,139,0.1,0.1,250,30,25,10,100,200,5,classical
175,134,0.1,0.1,250,30,25,10,100,200,5,classical
180,148,0.1,0.1,250,30,25,10,100,200,5,classical
185,121,0.1,0.1,250,30,25,10,100,200,5,classical
190,119,0.1,0.1,250,30,25,10,100,200,5,classical
195,130,0.1,0.1,250,30,25,10,100,200,5,classical
200,124,0.1,0.1,250,30,25,10,100,200,5,classical
