Step,Infected Count,Infection Rate,Recovery Rate,Total People,Initial Infected,Num Clusters,Intra-cluster Connections,Inter-cluster Connections,Total Steps,Measure Interval,Method
5,75,0.1,0.1,250,30,25,20,100,200,5,classical
10,113,0.1,0.1,250,30,25,20,100,200,5,classical
15,164,0.1,0.1,250,30,25,20,100,200,5,classical
20,170,0.1,0.1,250,30,25,20,100,200,5,classical
25,193,0.1,0.1,250,30,25,20,100,200,5,classical
30,181,0.1,0.1,250,30,25,20,100,200,5,classical
35,175,0.1,0.1,250,30,25,20,100,200,5,classical
40,184,0.1,0.1,250,30,25,20,100,200,5,classical
45,167,0.1,0.1,250,30,25,20,100,200,5,classical
50,175,0.1,0.1,250,30,25,20,100,200,5,classical
55,182,0.1,0.1,250,30,25,20,100,200,5,classical
60,167,0.1,0.1,250,30,25,20,100,200,5,classical
65,179,0.1,0.1,250,30,25,20,100,200,5,classical
70,176,0.1,0.1,250,30,25,20,100,200,5,classical
75,174,0.1,0.1,250,30,25,20,100,200,5,classical
80,190,0.1,0.1,250,30,25,20,100,200,5,classical
85,189,0.1,0.1,250,30,25,20,100,200,5,classical
90,190,0.1,0.1,250,30,25,20,100,200,5,classical
95,179,0.1,0.1,250,30,25,20,100,200,5,classical
100,180,0.1,0.1,250,30,25,20,100,200,5,classical
105,171,0.1,0.1,250,30,25,20,100,200,5,classical
110,193,0.1,0.1,250,30,25,20,100,200,5,classical
115,180,0.1,0.1,250,30,25,20,100,200,5,classical
120,182,0.1,0.1,250,30,25,20,100,200,5,classical
125,178,0.1,0.1,250,30,25,20,100,200,5,classical
130,165,0.1,0.1,250,30,25,20,100,200,5,classical
135,173,0.1,0.1,250,30,25,20,100,200,5,classical
140,174,0.1,0.1,250,30,25,20,100,200,5,classical
145,191,0.1,0.1,250,30,25,20,100,200,5,classical
150,179,0.1,0.1,250,30,25,20,100,200,5,classical
155,179,0.1,0.1,250,30,25,20,100,200,5,classical
160,183,0.1,0.1,250,30,25,20,100,200,5,classical
165,190,0.1,0.1,250,30,25,20,100,200,5,classical
170,177,0.1,0.1,250,30,25,20,100,200,5,classical
175,164,0.1,0.1,250,30,25,20,100,200,5,classical
180,163,0.1,0.1,250,30,25,20,100,200,5,classical
185,173,0.1,0.1,250,30,25,20,100,200,5,classical
190,178,0.1,0.1,250,30,25,20,100,200,5,classical
195,177,0.1,0.1,250,30,25,20,100,200,5,classical
200,177,0.1,0.1,250,30,25,20,100,200,5,classical
