Step,Infected Count,Infection Rate,Recovery Rate,Total People,Initial Infected,Num Clusters,Intra-cluster Connections,Inter-cluster Connections,Total Steps,Measure Interval,Method
5,126,0.1,0.1,480,30,48,20,400,400,5,classical
10,257,0.1,0.1,480,30,48,20,400,400,5,classical
15,339,0.1,0.1,480,30,48,20,400,400,5,classical
20,384,0.1,0.1,480,30,48,20,400,400,5,classical
25,378,0.1,0.1,480,30,48,20,400,400,5,classical
30,365,0.1,0.1,480,30,48,20,400,400,5,classical
35,346,0.1,0.1,480,30,48,20,400,400,5,classical
40,361,0.1,0.1,480,30,48,20,400,400,5,classical
45,346,0.1,0.1,480,30,48,20,400,400,5,classical
50,365,0.1,0.1,480,30,48,20,400,400,5,classical
55,372,0.1,0.1,480,30,48,20,400,400,5,classical
60,367,0.1,0.1,480,30,48,20,400,400,5,classical
65,365,0.1,0.1,480,30,48,20,400,400,5,classical
70,362,0.1,0.1,480,30,48,20,400,400,5,classical
75,377,0.1,0.1,480,30,48,20,400,400,5,classical
80,362,0.1,0.1,480,30,48,20,400,400,5,classical
85,361,0.1,0.1,480,30,48,20,400,400,5,classical
90,371,0.1,0.1,480,30,48,20,400,400,5,classical
95,362,0.1,0.1,480,30,48,20,400,400,5,classical
100,356,0.1,0.1,480,30,48,20,400,400,5,classical
105,368,0.1,0.1,480,30,48,20,400,400,5,classical
110,376,0.1,0.1,480,30,48,20,400,400,5,classical
115,360,0.1,0.1,480,30,48,20,400,400,5,classical
120,364,0.1,0.1,480,30,48,20,400,400,5,classical
125,372,0.1,0.1,480,30,48,20,400,400,5,classical
130,378,0.1,0.1,480,30,48,20,400,400,5,classical
135,373,0.1,0.1,480,30,48,20,400,400,5,classical
140,381,0.1,0.1,480,30,48,20,400,400,5,classical
145,382,0.1,0.1,480,30,48,20,400,400,5,classical
150,376,0.1,0.1,480,30,48,20,400,400,5,classical
155,373,0.1,0.1,480,30,48,20,400,400,5,classical
160,354,0.1,0.1,480,30,48,20,400,400,5,classical
165,345,0.1,0.1,480,30,48,20,400,400,5,classical
170,348,0.1,0.1,480,30,48,20,400,400,5,classical
175,349,0.1,0.1,480,30,48,20,400,400,5,classical
180,359,0.1,0.1,480,30,48,20,400,400,5,classical
185,394,0.1,0.1,480,30,48,20,400,400,5,classical
190,351,0.1,0.1,480,30,48,20,400,400,5,classical
195,383,0.1,0.1,480,30,48,20,400,400,5,classical
200,367,0.1,0.1,480,30,48,20,400,400,5,classical
205,378,0.1,0.1,480,30,48,20,400,400,5,classical
210,368,0.1,0.1,480,30,48,20,400,400,5,classical
215,363,0.1,0.1,480,30,48,20,400,400,5,classical
220,351,0.1,0.1,480,30,48,20,400,400,5,classical
225,380,0.1,0.1,480,30,48,20,400,400,5,classical
230,367,0.1,0.1,480,30,48,20,400,400,5,classical
235,357,0.1,0.1,480,30,48,20,400,400,5,classical
240,365,0.1,0.1,480,30,48,20,400,400,5,classical
245,351,0.1,0.1,480,30,48,20,400,400,5,classical
250,365,0.1,0.1,480,30,48,20,400,400,5,classical
255,377,0.1,0.1,480,30,48,20,400,400,5,classical
260,360,0.1,0.1,480,30,48,20,400,400,5,classical
265,358,0.1,0.1,480,30,48,20,400,400,5,classical
270,353,0.1,0.1,480,30,48,20,400,400,5,classical
275,362,0.1,0.1,480,30,48,20,400,400,5,classical
280,355,0.1,0.1,480,30,48,20,400,400,5,classical
285,364,0.1,0.1,480,30,48,20,400,400,5,classical
290,364,0.1,0.1,480,30,48,20,400,400,5,classical
295,345,0.1,0.1,480,30,48,20,400,400,5,classical
300,364,0.1,0.1,480,30,48,20,400,400,5,classical
305,369,0.1,0.1,480,30,48,20,400,400,5,classical
310,365,0.1,0.1,480,30,48,20,400,400,5,classical
315,341,0.1,0.1,480,30,48,20,400,400,5,classical
320,359,0.1,0.1,480,30,48,20,400,400,5,classical
325,353,0.1,0.1,480,30,48,20,400,400,5,classical
330,359,0.1,0.1,480,30,48,20,400,400,5,classical
335,361,0.1,0.1,480,30,48,20,400,400,5,classical
340,366,0.1,0.1,480,30,48,20,400,400,5,classical
345,359,0.1,0.1,480,30,48,20,400,400,5,classical
350,351,0.1,0.1,480,30,48,20,400,400,5,classical
355,354,0.1,0.1,480,30,48,20,400,400,5,classical
360,364,0.1,0.1,480,30,48,20,400,400,5,classical
365,342,0.1,0.1,480,30,48,20,400,400,5,classical
370,357,0.1,0.1,480,30,48,20,400,400,5,classical
375,351,0.1,0.1,480,30,48,20,400,400,5,classical
380,364,0.1,0.1,480,30,48,20,400,400,5,classical
385,345,0.1,0.1,480,30,48,20,400,400,5,classical
390,338,0.1,0.1,480,30,48,20,400,400,5,classical
395,369,0.1,0.1,480,30,48,20,400,400,5,classical
400,365,0.1,0.1,480,30,48,20,400,400,5,classical
