Step,Infected Count,Infection Rate,Recovery Rate,Total People,Initial Infected,Num Clusters,Intra-cluster Connections,Inter-cluster Connections,Total Steps,Measure Interval,Method
5,70,0.1,0.1,480,30,48,15,240,400,5,classical
10,149,0.1,0.1,480,30,48,15,240,400,5,classical
15,203,0.1,0.1,480,30,48,15,240,400,5,classical
20,262,0.1,0.1,480,30,48,15,240,400,5,classical
25,305,0.1,0.1,480,30,48,15,240,400,5,classical
30,306,0.1,0.1,480,30,48,15,240,400,5,classical
35,299,0.1,0.1,480,30,48,15,240,400,5,classical
40,300,0.1,0.1,480,30,48,15,240,400,5,classical
45,312,0.1,0.1,480,30,48,15,240,400,5,classical
50,320,0.1,0.1,480,30,48,15,240,400,5,classical
55,313,0.1,0.1,480,30,48,15,240,400,5,classical
60,316,0.1,0.1,480,30,48,15,240,400,5,classical
65,325,0.1,0.1,480,30,48,15,240,400,5,classical
70,338,0.1,0.1,480,30,48,15,240,400,5,classical
75,335,0.1,0.1,480,30,48,15,240,400,5,classical
80,330,0.1,0.1,480,30,48,15,240,400,5,classical
85,313,0.1,0.1,480,30,48,15,240,400,5,classical
90,323,0.1,0.1,480,30,48,15,240,400,5,classical
95,316,0.1,0.1,480,30,48,15,240,400,5,classical
100,319,0.1,0.1,480,30,48,15,240,400,5,classical
105,311,0.1,0.1,480,30,48,15,240,400,5,classical
110,297,0.1,0.1,480,30,48,15,240,400,5,classical
115,314,0.1,0.1,480,30,48,15,240,400,5,classical
120,326,0.1,0.1,480,30,48,15,240,400,5,classical
125,318,0.1,0.1,480,30,48,15,240,400,5,classical
130,292,0.1,0.1,480,30,48,15,240,400,5,classical
135,312,0.1,0.1,480,30,48,15,240,400,5,classical
140,315,0.1,0.1,480,30,48,15,240,400,5,classical
145,348,0.1,0.1,480,30,48,15,240,400,5,classical
150,333,0.1,0.1,480,30,48,15,240,400,5,classical
155,340,0.1,0.1,480,30,48,15,240,400,5,classical
160,329,0.1,0.1,480,30,48,15,240,400,5,classical
165,314,0.1,0.1,480,30,48,15,240,400,5,classical
170,323,0.1,0.1,480,30,48,15,240,400,5,classical
175,336,0.1,0.1,480,30,48,15,240,400,5,classical
180,327,0.1,0.1,480,30,48,15,240,400,5,classical
185,307,0.1,0.1,480,30,48,15,240,400,5,classical
190,303,0.1,0.1,480,30,48,15,240,400,5,classical
195,321,0.1,0.1,480,30,48,15,240,400,5,classical
200,304,0.1,0.1,480,30,48,15,240,400,5,classical
205,309,0.1,0.1,480,30,48,15,240,400,5,classical
210,315,0.1,0.1,480,30,48,15,240,400,5,classical
215,322,0.1,0.1,480,30,48,15,240,400,5,classical
220,325,0.1,0.1,480,30,48,15,240,400,5,classical
225,321,0.1,0.1,480,30,48,15,240,400,5,classical
230,318,0.1,0.1,480,30,48,15,240,400,5,classical
235,318,0.1,0.1,480,30,48,15,240,400,5,classical
240,323,0.1,0.1,480,30,48,15,240,400,5,classical
245,335,0.1,0.1,480,30,48,15,240,400,5,classical
250,312,0.1,0.1,480,30,48,15,240,400,5,classical
255,305,0.1,0.1,480,30,48,15,240,400,5,classical
260,318,0.1,0.1,480,30,48,15,240,400,5,classical
265,333,0.1,0.1,480,30,48,15,240,400,5,classical
270,334,0.1,0.1,480,30,48,15,240,400,5,classical
275,319,0.1,0.1,480,30,48,15,240,400,5,classical
280,307,0.1,0.1,480,30,48,15,240,400,5,classical
285,306,0.1,0.1,480,30,48,15,240,400,5,classical
290,311,0.1,0.1,480,30,48,15,240,400,5,classical
295,327,0.1,0.1,480,30,48,15,240,400,5,classical
300,328,0.1,0.1,480,30,48,15,240,400,5,classical
305,328,0.1,0.1,480,30,48,15,240,400,5,classical
310,331,0.1,0.1,480,30,48,15,240,400,5,classical
315,305,0.1,0.1,480,30,48,15,240,400,5,classical
320,311,0.1,0.1,480,30,48,15,240,400,5,classical
325,310,0.1,0.1,480,30,48,15,240,400,5,classical
330,330,0.1,0.1,480,30,48,15,240,400,5,classical
335,335,0.1,0.1,480,30,48,15,240,400,5,classical
340,337,0.1,0.1,480,30,48,15,240,400,5,classical
345,328,0.1,0.1,480,30,48,15,240,400,5,classical
350,311,0.1,0.1,480,30,48,15,240,400,5,classical
355,314,0.1,0.1,480,30,48,15,240,400,5,classical
360,322,0.1,0.1,480,30,48,15,240,400,5,classical
365,323,0.1,0.1,480,30,48,15,240,400,5,classical
370,333,0.1,0.1,480,30,48,15,240,400,5,classical
375,305,0.1,0.1,480,30,48,15,240,400,5,classical
380,325,0.1,0.1,480,30,48,15,240,400,5,classical
385,319,0.1,0.1,480,30,48,15,240,400,5,classical
390,337,0.1,0.1,480,30,48,15,240,400,5,classical
395,337,0.1,0.1,480,30,48,15,240,400,5,classical
400,329,0.1,0.1,480,30,48,15,240,400,5,classical
