Step,Infected Count,Infection Rate,Recovery Rate,Total People,Initial Infected,Num Clusters,Intra-cluster Connections,Inter-cluster Connections,Total Steps,Measure Interval,Method
5,192,0.2,0.1,480,30,48,10,400,400,5,classical
10,334,0.2,0.1,480,30,48,10,400,400,5,classical
15,352,0.2,0.1,480,30,48,10,400,400,5,classical
20,371,0.2,0.1,480,30,48,10,400,400,5,classical
25,370,0.2,0.1,480,30,48,10,400,400,5,classical
30,376,0.2,0.1,480,30,48,10,400,400,5,classical
35,366,0.2,0.1,480,30,48,10,400,400,5,classical
40,381,0.2,0.1,480,30,48,10,400,400,5,classical
45,398,0.2,0.1,480,30,48,10,400,400,5,classical
50,376,0.2,0.1,480,30,48,10,400,400,5,classical
55,378,0.2,0.1,480,30,48,10,400,400,5,classical
60,377,0.2,0.1,480,30,48,10,400,400,5,classical
65,362,0.2,0.1,480,30,48,10,400,400,5,classical
70,375,0.2,0.1,480,30,48,10,400,400,5,classical
75,368,0.2,0.1,480,30,48,10,400,400,5,classical
80,375,0.2,0.1,480,30,48,10,400,400,5,classical
85,372,0.2,0.1,480,30,48,10,400,400,5,classical
90,381,0.2,0.1,480,30,48,10,400,400,5,classical
95,377,0.2,0.1,480,30,48,10,400,400,5,classical
100,377,0.2,0.1,480,30,48,10,400,400,5,classical
105,384,0.2,0.1,480,30,48,10,400,400,5,classical
110,363,0.2,0.1,480,30,48,10,400,400,5,classical
115,363,0.2,0.1,480,30,48,10,400,400,5,classical
120,373,0.2,0.1,480,30,48,10,400,400,5,classical
125,383,0.2,0.1,480,30,48,10,400,400,5,classical
130,374,0.2,0.1,480,30,48,10,400,400,5,classical
135,369,0.2,0.1,480,30,48,10,400,400,5,classical
140,374,0.2,0.1,480,30,48,10,400,400,5,classical
145,381,0.2,0.1,480,30,48,10,400,400,5,classical
150,379,0.2,0.1,480,30,48,10,400,400,5,classical
155,380,0.2,0.1,480,30,48,10,400,400,5,classical
160,380,0.2,0.1,480,30,48,10,400,400,5,classical
165,375,0.2,0.1,480,30,48,10,400,400,5,classical
170,384,0.2,0.1,480,30,48,10,400,400,5,classical
175,390,0.2,0.1,480,30,48,10,400,400,5,classical
180,367,0.2,0.1,480,30,48,10,400,400,5,classical
185,372,0.2,0.1,480,30,48,10,400,400,5,classical
190,371,0.2,0.1,480,30,48,10,400,400,5,classical
195,379,0.2,0.1,480,30,48,10,400,400,5,classical
200,374,0.2,0.1,480,30,48,10,400,400,5,classical
205,385,0.2,0.1,480,30,48,10,400,400,5,classical
210,377,0.2,0.1,480,30,48,10,400,400,5,classical
215,378,0.2,0.1,480,30,48,10,400,400,5,classical
220,388,0.2,0.1,480,30,48,10,400,400,5,classical
225,367,0.2,0.1,480,30,48,10,400,400,5,classical
230,362,0.2,0.1,480,30,48,10,400,400,5,classical
235,368,0.2,0.1,480,30,48,10,400,400,5,classical
240,365,0.2,0.1,480,30,48,10,400,400,5,classical
245,377,0.2,0.1,480,30,48,10,400,400,5,classical
250,382,0.2,0.1,480,30,48,10,400,400,5,classical
255,385,0.2,0.1,480,30,48,10,400,400,5,classical
260,386,0.2,0.1,480,30,48,10,400,400,5,classical
265,380,0.2,0.1,480,30,48,10,400,400,5,classical
270,376,0.2,0.1,480,30,48,10,400,400,5,classical
275,372,0.2,0.1,480,30,48,10,400,400,5,classical
280,373,0.2,0.1,480,30,48,10,400,400,5,classical
285,379,0.2,0.1,480,30,48,10,400,400,5,classical
290,382,0.2,0.1,480,30,48,10,400,400,5,classical
295,387,0.2,0.1,480,30,48,10,400,400,5,classical
300,388,0.2,0.1,480,30,48,10,400,400,5,classical
305,370,0.2,0.1,480,30,48,10,400,400,5,classical
310,374,0.2,0.1,480,30,48,10,400,400,5,classical
315,383,0.2,0.1,480,30,48,10,400,400,5,classical
320,374,0.2,0.1,480,30,48,10,400,400,5,classical
325,370,0.2,0.1,480,30,48,10,400,400,5,classical
330,370,0.2,0.1,480,30,48,10,400,400,5,classical
335,360,0.2,0.1,480,30,48,10,400,400,5,classical
340,379,0.2,0.1,480,30,48,10,400,400,5,classical
345,368,0.2,0.1,480,30,48,10,400,400,5,classical
350,367,0.2,0.1,480,30,48,10,400,400,5,classical
355,363,0.2,0.1,480,30,48,10,400,400,5,classical
360,367,0.2,0.1,480,30,48,10,400,400,5,classical
365,386,0.2,0.1,480,30,48,10,400,400,5,classical
370,367,0.2,0.1,480,30,48,10,400,400,5,classical
375,394,0.2,0.1,480,30,48,10,400,400,5,classical
380,390,0.2,0.1,480,30,48,10,400,400,5,classical
385,378,0.2,0.1,480,30,48,10,400,400,5,classical
390,380,0.2,0.1,480,30,48,10,400,400,5,classical
395,387,0.2,0.1,480,30,48,10,400,400,5,classical
400,386,0.2,0.1,480,30,48,10,400,400,5,classical
