Step,Infected Count,Infection Rate,Recovery Rate,Total People,Initial Infected,Num Clusters,Intra-cluster Connections,Inter-cluster Connections,Total Steps,Measure Interval,Method
5,58,0.1,0.1,480,30,24,20,400,400,5,classical
10,100,0.1,0.1,480,30,24,20,400,400,5,classical
15,141,0.1,0.1,480,30,24,20,400,400,5,classical
20,193,0.1,0.1,480,30,24,20,400,400,5,classical
25,262,0.1,0.1,480,30,24,20,400,400,5,classical
30,286,0.1,0.1,480,30,24,20,400,400,5,classical
35,267,0.1,0.1,480,30,24,20,400,400,5,classical
40,293,0.1,0.1,480,30,24,20,400,400,5,classical
45,298,0.1,0.1,480,30,24,20,400,400,5,classical
50,308,0.1,0.1,480,30,24,20,400,400,5,classical
55,314,0.1,0.1,480,30,24,20,400,400,5,classical
60,308,0.1,0.1,480,30,24,20,400,400,5,classical
65,318,0.1,0.1,480,30,24,20,400,400,5,classical
70,310,0.1,0.1,480,30,24,20,400,400,5,classical
75,305,0.1,0.1,480,30,24,20,400,400,5,classical
80,295,0.1,0.1,480,30,24,20,400,400,5,classical
85,267,0.1,0.1,480,30,24,20,400,400,5,classical
90,293,0.1,0.1,480,30,24,20,400,400,5,classical
95,308,0.1,0.1,480,30,24,20,400,400,5,classical
100,299,0.1,0.1,480,30,24,20,400,400,5,classical
105,290,0.1,0.1,480,30,24,20,400,400,5,classical
110,314,0.1,0.1,480,30,24,20,400,400,5,classical
115,319,0.1,0.1,480,30,24,20,400,400,5,classical
120,311,0.1,0.1,480,30,24,20,400,400,5,classical
125,325,0.1,0.1,480,30,24,20,400,400,5,classical
130,299,0.1,0.1,480,30,24,20,400,400,5,classical
135,310,0.1,0.1,480,30,24,20,400,400,5,classical
140,312,0.1,0.1,480,30,24,20,400,400,5,classical
145,289,0.1,0.1,480,30,24,20,400,400,5,classical
150,282,0.1,0.1,480,30,24,20,400,400,5,classical
155,314,0.1,0.1,480,30,24,20,400,400,5,classical
160,322,0.1,0.1,480,30,24,20,400,400,5,classical
165,314,0.1,0.1,480,30,24,20,400,400,5,classical
170,306,0.1,0.1,480,30,24,20,400,400,5,classical
175,302,0.1,0.1,480,30,24,20,400,400,5,classical
180,309,0.1,0.1,480,30,24,20,400,400,5,classical
185,307,0.1,0.1,480,30,24,20,400,400,5,classical
190,310,0.1,0.1,480,30,24,20,400,400,5,classical
195,295,0.1,0.1,480,30,24,20,400,400,5,classical
200,308,0.1,0.1,480,30,24,20,400,400,5,classical
205,298,0.1,0.1,480,30,24,20,400,400,5,classical
210,298,0.1,0.1,480,30,24,20,400,400,5,classical
215,307,0.1,0.1,480,30,24,20,400,400,5,classical
220,314,0.1,0.1,480,30,24,20,400,400,5,classical
225,297,0.1,0.1,480,30,24,20,400,400,5,classical
230,292,0.1,0.1,480,30,24,20,400,400,5,classical
235,297,0.1,0.1,480,30,24,20,400,400,5,classical
240,319,0.1,0.1,480,30,24,20,400,400,5,classical
245,307,0.1,0.1,480,30,24,20,400,400,5,classical
250,323,0.1,0.1,480,30,24,20,400,400,5,classical
255,301,0.1,0.1,480,30,24,20,400,400,5,classical
260,310,0.1,0.1,480,30,24,20,400,400,5,classical
265,297,0.1,0.1,480,30,24,20,400,400,5,classical
270,299,0.1,0.1,480,30,24,20,400,400,5,classical
275,291,0.1,0.1,480,30,24,20,400,400,5,classical
280,291,0.1,0.1,480,30,24,20,400,400,5,classical
285,280,0.1,0.1,480,30,24,20,400,400,5,classical
290,290,0.1,0.1,480,30,24,20,400,400,5,classical
295,303,0.1,0.1,480,30,24,20,400,400,5,classical
300,305,0.1,0.1,480,30,24,20,400,400,5,classical
305,316,0.1,0.1,480,30,24,20,400,400,5,classical
310,313,0.1,0.1,480,30,24,20,400,400,5,classical
315,303,0.1,0.1,480,30,24,20,400,400,5,classical
320,320,0.1,0.1,480,30,24,20,400,400,5,classical
325,307,0.1,0.1,480,30,24,20,400,400,5,classical
330,284,0.1,0.1,480,30,24,20,400,400,5,classical
335,296,0.1,0.1,480,30,24,20,400,400,5,classical
340,316,0.1,0.1,480,30,24,20,400,400,5,classical
345,302,0.1,0.1,480,30,24,20,400,400,5,classical
350,299,0.1,0.1,480,30,24,20,400,400,5,classical
355,305,0.1,0.1,480,30,24,20,400,400,5,classical
360,301,0.1,0.1,480,30,24,20,400,400,5,classical
365,331,0.1,0.1,480,30,24,20,400,400,5,classical
370,316,0.1,0.1,480,30,24,20,400,400,5,classical
375,314,0.1,0.1,480,30,24,20,400,400,5,classical
380,313,0.1,0.1,480,30,24,20,400,400,5,classical
385,323,0.1,0.1,480,30,24,20,400,400,5,classical
390,313,0.1,0.1,480,30,24,20,400,400,5,classical
395,302,0.1,0.1,480,30,24,20,400,400,5,classical
400,314,0.1,0.1,480,30,24,20,400,400,5,classical
