Step,Infected Count,Infection Rate,Recovery Rate,Total People,Initial Infected,Num Clusters,Intra-cluster Connections,Inter-cluster Connections,Total Steps,Measure Interval,Method
5,49,0.1,0.1,250,30,25,10,100,200,5,quantum
10,49,0.1,0.1,250,30,25,10,100,200,5,quantum
15,57,0.1,0.1,250,30,25,10,100,200,5,quantum
20,67,0.1,0.1,250,30,25,10,100,200,5,quantum
25,70,0.1,0.1,250,30,25,10,100,200,5,quantum
30,69,0.1,0.1,250,30,25,10,100,200,5,quantum
35,72,0.1,0.1,250,30,25,10,100,200,5,quantum
40,78,0.1,0.1,250,30,25,10,100,200,5,quantum
45,83,0.1,0.1,250,30,25,10,100,200,5,quantum
50,85,0.1,0.1,250,30,25,10,100,200,5,quantum
55,88,0.1,0.1,250,30,25,10,100,200,5,quantum
60,92,0.1,0.1,250,30,25,10,100,200,5,quantum
65,93,0.1,0.1,250,30,25,10,100,200,5,quantum
70,95,0.1,0.1,250,30,25,10,100,200,5,quantum
75,98,0.1,0.1,250,30,25,10,100,200,5,quantum
80,98,0.1,0.1,250,30,25,10,100,200,5,quantum
85,97,0.1,0.1,250,30,25,10,100,200,5,quantum
90,101,0.1,0.1,250,30,25,10,100,200,5,quantum
95,101,0.1,0.1,250,30,25,10,100,200,5,quantum
100,99,0.1,0.1,250,30,25,10,100,200,5,quantum
105,106,0.1,0.1,250,30,25,10,100,200,5,quantum
110,106,0.1,0.1,250,30,25,10,100,200,5,quantum
115,110,0.1,0.1,250,30,25,10,100,200,5,quantum
120,113,0.1,0.1,250,30,25,10,100,200,5,quantum
125,116,0.1,0.1,250,30,25,10,100,200,5,quantum
130,113,0.1,0.1,250,30,25,10,100,200,5,quantum
135,118,0.1,0.1,250,30,25,10,100,200,5,quantum
140,116,0.1,0.1,250,30,25,10,100,200,5,quantum
145,118,0.1,0.1,250,30,25,10,100,200,5,quantum
150,121,0.1,0.1,250,30,25,10,100,200,5,quantum
155,119,0.1,0.1,250,30,25,10,100,200,5,quantum
160,122,0.1,0.1,250,30,25,10,100,200,5,quantum
165,121,0.1,0.1,250,30,25,10,100,200,5,quantum
170,122,0.1,0.1,250,30,25,10,100,200,5,quantum
175,123,0.1,0.1,250,30,25,10,100,200,5,quantum
180,120,0.1,0.1,250,30,25,10,100,200,5,quantum
185,122,0.1,0.1,250,30,25,10,100,200,5,quantum
190,124,0.1,0.1,250,30,25,10,100,200,5,quantum
195,125,0.1,0.1,250,30,25,10,100,200,5,quantum
200,126,0.1,0.1,250,30,25,10,100,200,5,quantum
