Step,Infected Count,Infection Rate,Recovery Rate,Total People,Initial Infected,Num Clusters,Intra-cluster Connections,Inter-cluster Connections,Total Steps,Measure Interval,Method
5,28,0.01,0.1,250,30,25,20,200,400,5,quantum
10,34,0.01,0.1,250,30,25,20,200,400,5,quantum
15,39,0.01,0.1,250,30,25,20,200,400,5,quantum
20,42,0.01,0.1,250,30,25,20,200,400,5,quantum
25,46,0.01,0.1,250,30,25,20,200,400,5,quantum
30,46,0.01,0.1,250,30,25,20,200,400,5,quantum
35,47,0.01,0.1,250,30,25,20,200,400,5,quantum
40,50,0.01,0.1,250,30,25,20,200,400,5,quantum
45,47,0.01,0.1,250,30,25,20,200,400,5,quantum
50,51,0.01,0.1,250,30,25,20,200,400,5,quantum
55,49,0.01,0.1,250,30,25,20,200,400,5,quantum
60,47,0.01,0.1,250,30,25,20,200,400,5,quantum
65,47,0.01,0.1,250,30,25,20,200,400,5,quantum
70,50,0.01,0.1,250,30,25,20,200,400,5,quantum
75,45,0.01,0.1,250,30,25,20,200,400,5,quantum
80,43,0.01,0.1,250,30,25,20,200,400,5,quantum
85,48,0.01,0.1,250,30,25,20,200,400,5,quantum
90,49,0.01,0.1,250,30,25,20,200,400,5,quantum
95,50,0.01,0.1,250,30,25,20,200,400,5,quantum
100,50,0.01,0.1,250,30,25,20,200,400,5,quantum
105,51,0.01,0.1,250,30,25,20,200,400,5,quantum
110,57,0.01,0.1,250,30,25,20,200,400,5,quantum
115,56,0.01,0.1,250,30,25,20,200,400,5,quantum
120,59,0.01,0.1,250,30,25,20,200,400,5,quantum
125,59,0.01,0.1,250,30,25,20,200,400,5,quantum
130,59,0.01,0.1,250,30,25,20,200,400,5,quantum
135,59,0.01,0.1,250,30,25,20,200,400,5,quantum
140,61,0.01,0.1,250,30,25,20,200,400,5,quantum
145,60,0.01,0.1,250,30,25,20,200,400,5,quantum
150,63,0.01,0.1,250,30,25,20,200,400,5,quantum
155,63,0.01,0.1,250,30,25,20,200,400,5,quantum
160,60,0.01,0.1,250,30,25,20,200,400,5,quantum
165,59,0.01,0.1,250,30,25,20,200,400,5,quantum
170,65,0.01,0.1,250,30,25,20,200,400,5,quantum
175,65,0.01,0.1,250,30,25,20,200,400,5,quantum
180,68,0.01,0.1,250,30,25,20,200,400,5,quantum
185,67,0.01,0.1,250,30,25,20,200,400,5,quantum
190,67,0.01,0.1,250,30,25,20,200,400,5,quantum
195,66,0.01,0.1,250,30,25,20,200,400,5,quantum
200,64,0.01,0.1,250,30,25,20,200,400,5,quantum
205,62,0.01,0.1,250,30,25,20,200,400,5,quantum
210,59,0.01,0.1,250,30,25,20,200,400,5,quantum
215,59,0.01,0.1,250,30,25,20,200,400,5,quantum
220,54,0.01,0.1,250,30,25,20,200,400,5,quantum
225,58,0.01,0.1,250,30,25,20,200,400,5,quantum
230,62,0.01,0.1,250,30,25,20,200,400,5,quantum
235,60,0.01,0.1,250,30,25,20,200,400,5,quantum
240,61,0.01,0.1,250,30,25,20,200,400,5,quantum
245,61,0.01,0.1,250,30,25,20,200,400,5,quantum
250,62,0.01,0.1,250,30,25,20,200,400,5,quantum
255,61,0.01,0.1,250,30,25,20,200,400,5,quantum
260,60,0.01,0.1,250,30,25,20,200,400,5,quantum
265,59,0.01,0.1,250,30,25,20,200,400,5,quantum
270,55,0.01,0.1,250,30,25,20,200,400,5,quantum
275,57,0.01,0.1,250,30,25,20,200,400,5,quantum
280,59,0.01,0.1,250,30,25,20,200,400,5,quantum
285,60,0.01,0.1,250,30,25,20,200,400,5,quantum
290,61,0.01,0.1,250,30,25,20,200,400,5,quantum
295,59,0.01,0.1,250,30,25,20,200,400,5,quantum
300,58,0.01,0.1,250,30,25,20,200,400,5,quantum
305,59,0.01,0.1,250,30,25,20,200,400,5,quantum
310,61,0.01,0.1,250,30,25,20,200,400,5,quantum
315,58,0.01,0.1,250,30,25,20,200,400,5,quantum
320,60,0.01,0.1,250,30,25,20,200,400,5,quantum
325,65,0.01,0.1,250,30,25,20,200,400,5,quantum
330,69,0.01,0.1,250,30,25,20,200,400,5,quantum
335,73,0.01,0.1,250,30,25,20,200,400,5,quantum
340,79,0.01,0.1,250,30,25,20,200,400,5,quantum
345,81,0.01,0.1,250,30,25,20,200,400,5,quantum
350,85,0.01,0.1,250,30,25,20,200,400,5,quantum
355,87,0.01,0.1,250,30,25,20,200,400,5,quantum
360,88,0.01,0.1,250,30,25,20,200,400,5,quantum
365,87,0.01,0.1,250,30,25,20,200,400,5,quantum
370,86,0.01,0.1,250,30,25,20,200,400,5,quantum
375,87,0.01,0.1,250,30,25,20,200,400,5,quantum
380,86,0.01,0.1,250,30,25,20,200,400,5,quantum
385,84,0.01,0.1,250,30,25,20,200,400,5,quantum
390,88,0.01,0.1,250,30,25,20,200,400,5,quantum
395,92,0.01,0.1,250,30,25,20,200,400,5,quantum
400,93,0.01,0.1,250,30,25,20,200,400,5,quantum
