Step,Infected Count,Infection Rate,Recovery Rate,Total People,Initial Infected,Num Clusters,Intra-cluster Connections,Inter-cluster Connections,Total Steps,Measure Interval,Method
5,40,0.03,0.1,250,30,25,20,200,400,5,quantum
10,45,0.03,0.1,250,30,25,20,200,400,5,quantum
15,53,0.03,0.1,250,30,25,20,200,400,5,quantum
20,57,0.03,0.1,250,30,25,20,200,400,5,quantum
25,64,0.03,0.1,250,30,25,20,200,400,5,quantum
30,68,0.03,0.1,250,30,25,20,200,400,5,quantum
35,75,0.03,0.1,250,30,25,20,200,400,5,quantum
40,74,0.03,0.1,250,30,25,20,200,400,5,quantum
45,82,0.03,0.1,250,30,25,20,200,400,5,quantum
50,77,0.03,0.1,250,30,25,20,200,400,5,quantum
55,82,0.03,0.1,250,30,25,20,200,400,5,quantum
60,89,0.03,0.1,250,30,25,20,200,400,5,quantum
65,92,0.03,0.1,250,30,25,20,200,400,5,quantum
70,99,0.03,0.1,250,30,25,20,200,400,5,quantum
75,102,0.03,0.1,250,30,25,20,200,400,5,quantum
80,108,0.03,0.1,250,30,25,20,200,400,5,quantum
85,114,0.03,0.1,250,30,25,20,200,400,5,quantum
90,114,0.03,0.1,250,30,25,20,200,400,5,quantum
95,121,0.03,0.1,250,30,25,20,200,400,5,quantum
100,122,0.03,0.1,250,30,25,20,200,400,5,quantum
105,129,0.03,0.1,250,30,25,20,200,400,5,quantum
110,132,0.03,0.1,250,30,25,20,200,400,5,quantum
115,136,0.03,0.1,250,30,25,20,200,400,5,quantum
120,137,0.03,0.1,250,30,25,20,200,400,5,quantum
125,134,0.03,0.1,250,30,25,20,200,400,5,quantum
130,126,0.03,0.1,250,30,25,20,200,400,5,quantum
135,134,0.03,0.1,250,30,25,20,200,400,5,quantum
140,137,0.03,0.1,250,30,25,20,200,400,5,quantum
145,141,0.03,0.1,250,30,25,20,200,400,5,quantum
150,146,0.03,0.1,250,30,25,20,200,400,5,quantum
155,148,0.03,0.1,250,30,25,20,200,400,5,quantum
160,146,0.03,0.1,250,30,25,20,200,400,5,quantum
165,144,0.03,0.1,250,30,25,20,200,400,5,quantum
170,145,0.03,0.1,250,30,25,20,200,400,5,quantum
175,146,0.03,0.1,250,30,25,20,200,400,5,quantum
180,147,0.03,0.1,250,30,25,20,200,400,5,quantum
185,144,0.03,0.1,250,30,25,20,200,400,5,quantum
190,150,0.03,0.1,250,30,25,20,200,400,5,quantum
195,154,0.03,0.1,250,30,25,20,200,400,5,quantum
200,150,0.03,0.1,250,30,25,20,200,400,5,quantum
205,150,0.03,0.1,250,30,25,20,200,400,5,quantum
210,153,0.03,0.1,250,30,25,20,200,400,5,quantum
215,159,0.03,0.1,250,30,25,20,200,400,5,quantum
220,154,0.03,0.1,250,30,25,20,200,400,5,quantum
225,151,0.03,0.1,250,30,25,20,200,400,5,quantum
230,148,0.03,0.1,250,30,25,20,200,400,5,quantum
235,149,0.03,0.1,250,30,25,20,200,400,5,quantum
240,157,0.03,0.1,250,30,25,20,200,400,5,quantum
245,157,0.03,0.1,250,30,25,20,200,400,5,quantum
250,156,0.03,0.1,250,30,25,20,200,400,5,quantum
255,160,0.03,0.1,250,30,25,20,200,400,5,quantum
260,158,0.03,0.1,250,30,25,20,200,400,5,quantum
265,160,0.03,0.1,250,30,25,20,200,400,5,quantum
270,156,0.03,0.1,250,30,25,20,200,400,5,quantum
275,159,0.03,0.1,250,30,25,20,200,400,5,quantum
280,161,0.03,0.1,250,30,25,20,200,400,5,quantum
285,158,0.03,0.1,250,30,25,20,200,400,5,quantum
290,159,0.03,0.1,250,30,25,20,200,400,5,quantum
295,159,0.03,0.1,250,30,25,20,200,400,5,quantum
300,163,0.03,0.1,250,30,25,20,200,400,5,quantum
305,168,0.03,0.1,250,30,25,20,200,400,5,quantum
310,168,0.03,0.1,250,30,25,20,200,400,5,quantum
315,174,0.03,0.1,250,30,25,20,200,400,5,quantum
320,180,0.03,0.1,250,30,25,20,200,400,5,quantum
325,174,0.03,0.1,250,30,25,20,200,400,5,quantum
330,176,0.03,0.1,250,30,25,20,200,400,5,quantum
335,182,0.03,0.1,250,30,25,20,200,400,5,quantum
340,185,0.03,0.1,250,30,25,20,200,400,5,quantum
345,190,0.03,0.1,250,30,25,20,200,400,5,quantum
350,190,0.03,0.1,250,30,25,20,200,400,5,quantum
355,197,0.03,0.1,250,30,25,20,200,400,5,quantum
360,202,0.03,0.1,250,30,25,20,200,400,5,quantum
365,202,0.03,0.1,250,30,25,20,200,400,5,quantum
370,195,0.03,0.1,250,30,25,20,200,400,5,quantum
375,192,0.03,0.1,250,30,25,20,200,400,5,quantum
380,185,0.03,0.1,250,30,25,20,200,400,5,quantum
385,185,0.03,0.1,250,30,25,20,200,400,5,quantum
390,188,0.03,0.1,250,30,25,20,200,400,5,quantum
395,188,0.03,0.1,250,30,25,20,200,400,5,quantum
400,184,0.03,0.1,250,30,25,20,200,400,5,quantum
