Step,Infected Count,Infection Rate,Recovery Rate,Total People,Initial Infected,Num Clusters,Intra-cluster Connections,Inter-cluster Connections,Total Steps,Measure Interval,Method
5,3,0.06,0.06,20,5,2,20,10,150,5,quantum
10,3,0.06,0.06,20,5,2,20,10,150,5,quantum
15,4,0.06,0.06,20,5,2,20,10,150,5,quantum
20,5,0.06,0.06,20,5,2,20,10,150,5,quantum
25,5,0.06,0.06,20,5,2,20,10,150,5,quantum
30,6,0.06,0.06,20,5,2,20,10,150,5,quantum
35,6,0.06,0.06,20,5,2,20,10,150,5,quantum
40,6,0.06,0.06,20,5,2,20,10,150,5,quantum
45,6,0.06,0.06,20,5,2,20,10,150,5,quantum
50,7,0.06,0.06,20,5,2,20,10,150,5,quantum
55,7,0.06,0.06,20,5,2,20,10,150,5,quantum
60,7,0.06,0.06,20,5,2,20,10,150,5,quantum
65,8,0.06,0.06,20,5,2,20,10,150,5,quantum
70,9,0.06,0.06,20,5,2,20,10,150,5,quantum
75,8,0.06,0.06,20,5,2,20,10,150,5,quantum
80,8,0.06,0.06,20,5,2,20,10,150,5,quantum
85,8,0.06,0.06,20,5,2,20,10,150,5,quantum
90,8,0.06,0.06,20,5,2,20,10,150,5,quantum
95,8,0.06,0.06,20,5,2,20,10,150,5,quantum
100,8,0.06,0.06,20,5,2,20,10,150,5,quantum
105,9,0.06,0.06,20,5,2,20,10,150,5,quantum
110,9,0.06,0.06,20,5,2,20,10,150,5,quantum
115,9,0.06,0.06,20,5,2,20,10,150,5,quantum
120,9,0.06,0.06,20,5,2,20,10,150,5,quantum
125,9,0.06,0.06,20,5,2,20,10,150,5,quantum
130,9,0.06,0.06,20,5,2,20,10,150,5,quantum
135,9,0.06,0.06,20,5,2,20,10,150,5,quantum
140,8,0.06,0.06,20,5,2,20,10,150,5,quantum
145,9,0.06,0.06,20,5,2,20,10,150,5,quantum
150,9,0.06,0.06,20,5,2,20,10,150,5,quantum
